author id,conversation_id,created_at,tweet_id,tweet,source,geo
1975577736,1534180923784286208,2022-06-07 14:30:10+00:00,1534180923784286208,RT @RepRaskin: Honored to speak to graduating 8th graders at Silver Creek Middle! These politically savvy and engaged students shared thoug…,Twitter for Android, 
351686967,1534180918729924608,2022-06-07 14:30:09+00:00,1534180918729924608,RT @PramilaJayapal: An extremist Supreme Court is poised to strip away abortion rights — and the rights of LGBTQ+ folks could be next if we…,Twitter for iPhone, 
1124447266205503488,1534180904876265473,2022-06-07 14:30:06+00:00,1534180904876265473,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",All 435 Reps, 
116519736,1534180900900155394,2022-06-07 14:30:05+00:00,1534180900900155394,"The White House is quietly preparing for a Supreme Court ruling overturning Roe v. Wade, a consequential decision expected to come this month that will create immediate pressure to respond and take action. https://t.co/yAC8Qg5MLc",SocialFlow, 
1362862259341578240,1534180900447129600,2022-06-07 14:30:05+00:00,1534180900447129600,Supreme Court Abortion will boost the liberal push to pack the court! Does anyone bring up Ruth batter Ginsberg thought on the Roe v. Wade that it was flawed!,Twitter for iPhone, 
1528916819746009088,1534180886979043328,2022-06-07 14:30:01+00:00,1534180886979043328,"RT @KarenAttiah: Between the NYT op-ed endorsing suffering in marriage, to Roe V. Wade being overturned, the glee over the supposed end of…",Twitter for Android, 
815733290955112448,1534180882923327488,2022-06-07 14:30:00+00:00,1534180882923327488,"57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.

That's the same rationale used in Roe v. Wade. If Roe is overturned, not only are abortion rights at stake, dozens of other settled precedents could be too.",TweetDeck, 
1504877211718934531,1534180809342697474,2022-06-07 14:29:43+00:00,1534180809342697474,RT @FreeSpeechAmer: TIME celebrated the efforts of pro-abortion activists pressuring Big Tech companies to push abortion pills online in th…,Twitter for iPad, 
1521636941241982978,1534180755689115650,2022-06-07 14:29:30+00:00,1534180755689115650,RT @thehill: NEW: White House braces for the death of Roe v. Wade https://t.co/6Cvz8Ti3VK https://t.co/Q83ru6PyUh,Twitter for Android, 
25709770,1534180739398389760,2022-06-07 14:29:26+00:00,1534180739398389760,RT @RepRaskin: Honored to speak to graduating 8th graders at Silver Creek Middle! These politically savvy and engaged students shared thoug…,Twitter for iPad, 
823663695037337600,1534180702626930690,2022-06-07 14:29:17+00:00,1534180702626930690,RT @RyanShead: People of Praise will now influence a Supreme Court ruling on Roe v Wade because Amy Coney Barrett believes women should do…,Twitter for iPad, 
1430263419513434114,1534180681068290054,2022-06-07 14:29:12+00:00,1534180681068290054,The Supreme Court is set to announce their decision on Roe v. Wade this week. Our rights are at stake. Charles believes in everyone’s right to choose what happens to their own body.,Twitter Web App, 
531850647,1534180644565270528,2022-06-07 14:29:04+00:00,1534180644565270528,RT @SchreiberEvan: NEW THIS MORNING: Protests are building outside the Supreme Court in DC as Americans await a possible opinion on Roe v.…,Twitter Web App, 
714485038591696896,1534180639276077056,2022-06-07 14:29:02+00:00,1534180639276077056,"RT @josh_wingrove: VP Harris has led the administration’s pushback on the potential ruling striking down Roe v. Wade, an issue Biden has he…",Twitter for iPad, 
46460967,1534180636390350848,2022-06-07 14:29:02+00:00,1534180636390350848,RT @RepRaskin: Honored to speak to graduating 8th graders at Silver Creek Middle! These politically savvy and engaged students shared thoug…,Twitter Web App, 
1204561977730850818,1534180632720560129,2022-06-07 14:29:01+00:00,1534180632720560129,"RT @discomfiting2_0: The USSR legalized abortion in the 1920s. And even after some restrictions were enacted in the 1930s, the restrictions…",Twitter for Android, 
3234980473,1534180625128648704,2022-06-07 14:28:59+00:00,1534180625128648704,RT @PramilaJayapal: An extremist Supreme Court is poised to strip away abortion rights — and the rights of LGBTQ+ folks could be next if we…,Twitter for Android, 
1438522071403827201,1534180595030441986,2022-06-07 14:28:52+00:00,1534180595030441986,"Homeland Security issues 'heightened threat advisory' because of fears of violence if Roe v. Wade is overturned, responses to the surge in illegal border crossings, the midterms and risk of 'copycat' Uvalde attacks https://t.co/YMZwgQcvYE https://t.co/cyLdyqQaCM","Pipedream, Inc", 
1695337148,1534180567914266625,2022-06-07 14:28:45+00:00,1534180567914266625,RT @RepRaskin: Honored to speak to graduating 8th graders at Silver Creek Middle! These politically savvy and engaged students shared thoug…,Twitter for iPhone, 
1366021981225816070,757642873055617025,2022-06-07 14:28:44+00:00,1534180564449734657,"@SamAdlerBell Because the Supreme Court you helped put in power is going to overturn Roe-V-Wade this month.

Oh, you didn’t think the chickens would come home to roost? https://t.co/ybiEppDQzG",Twitter Web App, 
961009525523451906,1534147981565476866,2022-06-07 14:28:42+00:00,1534180555096481792,@RichieHartman9 @SuprDuprPensFan @joncoopertweets Roe V Wade does not have to be overturned to overturn Heller… other things have been overturned &amp; THAT is precedent… Segregation for example was overturned…women don’t have 2 give up their freedoms to overturn a wrong decision on guns,Twitter for iPhone, 
81719661,1534180442114560003,2022-06-07 14:28:15+00:00,1534180442114560003,4 SCOTUS are ardent Catholics. If they dont overturn ROE V WADE they could be excommunicated. Should they recuse themselves? Would they? Remember when JFK jad to renounce any allegence to Rome?,Twitter for Android, 
467330439,1534180432127868930,2022-06-07 14:28:13+00:00,1534180432127868930,RT @RepRaskin: Honored to speak to graduating 8th graders at Silver Creek Middle! These politically savvy and engaged students shared thoug…,Twitter Web App, 
3119080665,1534180429477171202,2022-06-07 14:28:12+00:00,1534180429477171202,RT @RyanShead: People of Praise will now influence a Supreme Court ruling on Roe v Wade because Amy Coney Barrett believes women should do…,Twitter for Android, 
17200105,1534180381607469056,2022-06-07 14:28:01+00:00,1534180381607469056,"Some Western states will quickly restrict abortion if Roe v. Wade is overturned. As KUNC's @TheNomadicHeart reports, the fight to preserve abortion access in the Mountain West reflects a divided nation. https://t.co/6udrXCSRGI",Buffer, 
122437712,1534180365329436673,2022-06-07 14:27:57+00:00,1534180365329436673,RT @PramilaJayapal: An extremist Supreme Court is poised to strip away abortion rights — and the rights of LGBTQ+ folks could be next if we…,Twitter for iPad, 
331908350,1534180363907616768,2022-06-07 14:27:57+00:00,1534180363907616768,"RT @HistoricalNoOne: @AHHfulPossum @AP Roe v Wade was “precedent”, and there’s a damn good chance that’s about to get turned over. The curr…",Twitter for iPhone, 
3400804276,1534180363169411074,2022-06-07 14:27:56+00:00,1534180363169411074,RT @kdollsweety: If Roe V. Wade is indeed overturned by SCOTUS this means it goes to individual States to decide….I think Red States finall…,Twitter for iPhone, 
2994145382,1534179673516564482,2022-06-07 14:27:38+00:00,1534180284404334593,"As @EricMockTV reports, new data shows that only about 37% of 911 calls in Portland are being answered within 20 seconds; which is the national standard. @KATUNews #LiveOnK2  https://t.co/0NcE0DugCQ",Twitter Web App, 
